3 456 0 
0 29384 1 0 
2 29598 1 0 
3 29598 1 0 
0 29813 1 0 
1 30027 1 0 
2 30027 1 0 
3 30241 1 0 
1 30456 1 0 
0 30456 1 0 
2 30777 1 0 
0 30777 1 0 
1 31098 1 0 
3 31098 1 0 
2 31313 1 0 
0 31313 1 0 
3 31527 1 0 
2 31741 1 0 
1 31741 1 0 
0 31956 1 0 
2 32170 1 0 
3 32170 1 0 
1 32491 1 0 
0 32491 1 0 
2 32813 1 0 
3 32813 1 0 
0 33027 1 0 
1 33027 1 0 
2 33241 1 0 
0 33456 1 0 
1 33456 1 0 
2 33670 1 0 
0 33884 1 0 
3 33884 1 0 
1 34098 1 0 
2 34313 1 0 
3 34313 1 0 
1 34527 1 0 
0 34741 1 0 
3 34741 1 0 
2 34956 1 0 
0 35170 1 0 
3 35170 1 0 
1 35384 1 0 
2 35598 1 0 
3 35598 1 0 
1 35920 1 0 
0 35920 1 0 
2 36241 1 0 
3 36241 1 0 
1 36456 1 0 
0 36456 1 0 
2 36670 1 0 
0 36884 1 0 
3 36884 1 0 
1 37098 1 0 
2 37313 1 0 
3 37313 1 0 
1 37634 1 0 
0 37634 1 0 
2 37956 1 0 
1 38170 1 0 
3 38170 1 0 
0 38384 1 0 
1 38598 1 0 
3 38598 1 0 
2 38813 1 0 
3 39027 1 0 
0 39027 1 0 
1 39348 1 0 
2 39348 1 0 
2 39670 1 0 
3 39670 1 0 
1 39884 1 0 
0 39884 1 0 
1 40206 1 0 
0 40206 1 0 
3 40527 1 0 
1 40527 1 0 
2 40741 1 0 
0 40741 2 41170 
1 41170 2 41384 
0 41598 1 0 
3 41598 1 0 
1 41813 1 0 
2 42027 1 0 
3 42027 1 0 
1 42241 1 0 
0 42456 1 0 
3 42456 1 0 
1 42777 1 0 
0 42777 1 0 
2 43098 1 0 
3 43098 1 0 
1 43313 1 0 
0 43313 1 0 
3 43527 1 0 
2 43741 1 0 
1 43741 1 0 
0 43956 1 0 
2 44170 1 0 
3 44170 1 0 
1 44491 1 0 
3 44491 1 0 
2 44813 1 0 
0 44813 1 0 
1 45027 1 0 
3 45027 1 0 
0 45241 1 0 
1 45456 1 0 
2 45456 1 0 
3 45670 1 0 
1 45884 1 0 
0 45884 1 0 
2 46206 1 0 
3 46206 1 0 
1 46527 1 0 
0 46527 1 0 
2 46741 1 0 
3 46741 1 0 
1 46956 1 0 
2 47170 1 0 
3 47170 1 0 
1 47384 1 0 
0 47598 1 0 
3 47598 1 0 
2 47813 1 0 
0 48027 1 0 
1 48027 1 0 
2 48241 1 0 
0 48456 1 0 
3 48456 1 0 
1 48670 1 0 
3 48884 1 0 
0 48884 1 0 
2 49098 1 0 
1 49313 1 0 
0 49313 1 0 
2 49634 1 0 
3 49634 1 0 
1 49956 1 0 
0 49956 1 0 
3 50170 1 0 
2 50170 1 0 
1 50384 1 0 
0 50598 1 0 
3 50598 1 0 
2 50813 1 0 
1 51027 1 0 
0 51027 1 0 
2 51348 1 0 
3 51348 1 0 
1 51670 1 0 
2 51670 1 0 
0 51884 1 0 
3 51884 1 0 
1 52098 1 0 
3 52313 1 0 
2 52313 1 0 
1 52527 1 0 
0 52741 1 0 
3 52741 1 0 
1 53063 1 0 
0 53063 1 0 
2 53384 1 0 
0 53598 1 0 
3 53598 1 0 
2 53920 1 0 
3 53920 1 0 
1 54241 1 0 
2 54241 1 0 
0 54456 2 54884 
3 54456 1 0 
2 54884 2 55098 
0 55313 1 4 
3 55313 1 0 
